feature,mean_abs_shap
built_ratio,2714.2464693483275
night_light_index,406.4166844530297
road_density,261.60327779560834
public_transport_score,249.7353403376265
distance_to_center_km,236.5331200683624
vegetation_ratio,225.38436249001694
zone_type_centro,219.01284617712233
water_ratio,56.40489433916328
mean_green,54.739708348227516
zone_type_industrial,28.44814225656686
vegetation_index,28.32253531612798
texture,27.380959306211714
grayness,25.280628911340088
water_index,19.715853991486096
zone_type_periurbano,19.285236462205194
contrast,14.766535768002692
mean_red,13.491208927134029
brightness,10.884112506659436
zone_type_residencial,10.42268968110318
built_up_proxy,8.778261628593935
mean_blue,8.672947397941622
zone_type_parque_urbano,4.7720007040839745
